Gender,Own_Car,Own_Property,Children_Count,Annual_Income,Income_Type,Education_Type,Family_Status,Housing_Type,Employment_Days,Age_Days,Has_Work_Phone,Has_Phone,Has_Email,Occupation_Type,Family_Members,Status
M,Y,Y,1,142453,Working,Higher education,Married,House / apartment,-4043,-18267,0,0,0,Sales staff,3,1
F,Y,N,0,193795,Working,Secondary / secondary special,Married,House / apartment,-11062,-14571,0,1,0,Medicine staff,3,1
F,N,N,2,226667,Working,Higher education,Married,House / apartment,-12489,-20093,0,1,0,Medicine staff,1,1
F,Y,Y,1,268760,Commercial associate,Secondary / secondary special,Married,House / apartment,-13927,-13322,1,1,0,Drivers,4,1
M,Y,Y,0,226881,Working,Higher education,Married,House / apartment,-1281,-21775,0,0,0,Security staff,3,1
M,N,Y,4,120824,Pensioner,Secondary / secondary special,Married,House / apartment,11,-23986,1,0,0,Medicine staff,2,0
M,N,Y,1,242727,Working,Higher education,Married,House / apartment,-2415,-18232,0,0,0,Sales staff,3,1
F,N,Y,0,189458,Commercial associate,Higher education,Married,House / apartment,-12808,-19542,1,0,0,Private service staff,2,1
F,Y,Y,1,108273,Pensioner,Incomplete higher,Married,House / apartment,8,-22979,0,1,1,Cooking staff,3,0
F,N,Y,0,126098,Pensioner,Higher education,Married,Co-op apartment,7,-13872,0,0,0,Cleaning staff,1,0
M,Y,Y,2,140915,Pensioner,Secondary / secondary special,Married,With parents,26,-21894,0,0,0,Cleaning staff,4,0
F,Y,Y,2,99200,Commercial associate,Higher education,Married,House / apartment,-9829,-16025,0,0,0,Sales staff,2,1
F,N,Y,4,165529,State servant,Secondary / secondary special,Single / not married,House / apartment,-6702,-16138,0,1,0,Sales staff,3,1
M,Y,Y,1,105026,Working,Higher education,Married,House / apartment,-10686,-14039,0,0,0,Laborers,2,1
M,N,Y,1,266018,Working,Incomplete higher,Separated,House / apartment,-8520,-14235,0,0,0,High skill tech staff,3,1
M,N,Y,2,68420,Working,Secondary / secondary special,Married,House / apartment,-3840,-22416,0,1,0,Cleaning staff,3,0
M,N,N,0,138911,Working,Higher education,Separated,House / apartment,-2342,-20058,1,0,0,Drivers,2,0
F,N,N,1,174343,Working,Higher education,Civil marriage,House / apartment,-3763,-23723,0,1,0,Cleaning staff,3,1
M,Y,Y,1,204741,Working,Secondary / secondary special,Single / not married,House / apartment,-12143,-21957,1,0,0,Sales staff,2,1
M,N,Y,0,274570,Working,Secondary / secondary special,Separated,House / apartment,-10651,-17630,0,0,0,Cooking staff,4,1
F,N,Y,0,68502,Working,Secondary / secondary special,Married,House / apartment,-13572,-13636,0,0,0,Accountants,2,1
M,N,Y,2,149538,Working,Lower secondary,Married,Municipal apartment,-8277,-11328,0,1,0,Cooking staff,4,0
M,N,Y,2,74841,Pensioner,Secondary / secondary special,Married,House / apartment,5,-16631,0,0,0,IT staff,3,0
M,Y,N,0,181897,Working,Higher education,Married,House / apartment,-990,-16533,0,1,0,Cleaning staff,2,1
F,N,Y,0,313689,Commercial associate,Secondary / secondary special,Married,House / apartment,-8221,-11047,0,1,0,Laborers,2,1
F,Y,N,0,275447,Working,Secondary / secondary special,Married,House / apartment,-3707,-13449,0,0,0,Accountants,2,1
M,N,Y,2,224373,State servant,Higher education,Married,House / apartment,-480,-9116,0,1,0,Medicine staff,3,1
F,N,Y,0,126031,Pensioner,Secondary / secondary special,Married,House / apartment,14,-15384,0,0,0,Managers,2,0
F,Y,N,2,221209,Commercial associate,Lower secondary,Married,House / apartment,-191,-9171,0,1,0,Secretaries,2,0
M,N,Y,0,246905,Commercial associate,Secondary / secondary special,Married,With parents,-1728,-17103,1,0,0,Private service staff,3,1
F,Y,Y,1,95462,Working,Secondary / secondary special,Widow,House / apartment,-3172,-22531,1,1,0,High skill tech staff,2,0
M,N,Y,0,140595,State servant,Secondary / secondary special,Married,House / apartment,-3337,-10164,0,0,0,Sales staff,3,0
M,N,Y,2,100169,Pensioner,Lower secondary,Married,Rented apartment,2,-17949,0,0,0,Cleaning staff,2,0
F,N,N,0,143977,Pensioner,Secondary / secondary special,Married,House / apartment,23,-14436,0,1,0,Secretaries,1,0
F,N,Y,1,29379,Commercial associate,Secondary / secondary special,Single / not married,With parents,-7700,-15218,0,0,0,Drivers,3,0
F,N,N,0,251710,Working,Secondary / secondary special,Married,With parents,-8355,-8997,0,0,0,Accountants,1,1
M,Y,N,2,127988,Pensioner,Secondary / secondary special,Separated,House / apartment,22,-22455,0,0,0,Drivers,2,0
M,Y,N,2,196131,Working,Higher education,Married,House / apartment,-12079,-17335,0,0,0,High skill tech staff,4,1
F,Y,Y,0,154894,Commercial associate,Higher education,Married,With parents,-6834,-21093,0,0,0,Cleaning staff,2,1
F,Y,Y,2,177297,Working,Secondary / secondary special,Widow,With parents,-7756,-21269,0,0,0,Private service staff,5,1
M,N,N,1,153431,State servant,Secondary / secondary special,Separated,House / apartment,-2363,-9717,0,0,0,High skill tech staff,5,1
F,N,Y,0,203547,Working,Higher education,Single / not married,House / apartment,-605,-17315,0,0,0,Private service staff,2,1
M,N,Y,0,124430,Working,Secondary / secondary special,Married,House / apartment,-1234,-16727,0,1,0,High skill tech staff,1,1
F,Y,Y,0,215399,Commercial associate,Secondary / secondary special,Single / not married,With parents,-14122,-13102,0,1,0,Cooking staff,3,1
M,N,Y,2,77120,Pensioner,Secondary / secondary special,Married,House / apartment,0,-11522,0,0,0,Drivers,2,0
F,N,Y,2,166893,Commercial associate,Secondary / secondary special,Married,Rented apartment,-6498,-13632,0,1,0,Cleaning staff,1,1
M,Y,Y,0,183953,Working,Secondary / secondary special,Married,Co-op apartment,-5694,-14983,0,0,0,Managers,3,0
F,N,Y,1,279908,Working,Secondary / secondary special,Married,With parents,-13679,-10177,1,0,0,Medicine staff,1,1
F,N,N,2,132925,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0,-11379,0,0,0,Drivers,4,0
M,Y,Y,3,203639,State servant,Secondary / secondary special,Married,House / apartment,-10625,-16727,0,1,0,High skill tech staff,1,1
F,N,N,1,143011,Pensioner,Higher education,Separated,House / apartment,14,-8523,1,0,0,Managers,1,0
F,N,Y,3,118514,Working,Academic degree,Married,House / apartment,-3619,-11368,0,1,0,Accountants,2,1
F,Y,N,1,141535,Pensioner,Lower secondary,Married,House / apartment,23,-24658,0,0,0,IT staff,5,0
F,N,Y,0,239442,Working,Higher education,Single / not married,House / apartment,-9995,-18060,1,0,0,Security staff,3,1
F,N,N,2,307957,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-4194,-7993,0,0,0,IT staff,3,1
F,N,Y,1,223630,Working,Secondary / secondary special,Separated,House / apartment,-6538,-24133,0,1,0,Laborers,2,1
M,N,N,1,155777,Working,Higher education,Single / not married,With parents,-9364,-14332,1,0,1,IT staff,2,1
M,N,Y,1,170033,Pensioner,Secondary / secondary special,Married,House / apartment,20,-24830,0,0,0,Drivers,2,0
M,N,N,2,300673,Commercial associate,Secondary / secondary special,Widow,House / apartment,-5397,-16231,0,0,0,High skill tech staff,2,0
M,N,N,2,118811,Working,Secondary / secondary special,Separated,House / apartment,-1403,-16741,0,0,0,Core staff,3,0
M,Y,Y,0,238755,Working,Secondary / secondary special,Married,Rented apartment,-11973,-23485,0,1,0,Sales staff,3,1
M,N,Y,0,165020,Working,Higher education,Married,With parents,-11876,-16808,0,0,0,Drivers,2,1
F,N,N,1,216797,Commercial associate,Higher education,Married,House / apartment,-13247,-22802,1,0,0,Security staff,4,1
M,N,Y,1,99192,Working,Higher education,Married,House / apartment,-1872,-7715,1,0,0,Core staff,2,1
M,Y,N,0,290872,Working,Higher education,Widow,Rented apartment,-4987,-10407,0,1,0,Cooking staff,5,1
F,N,Y,2,282810,Commercial associate,Secondary / secondary special,Married,House / apartment,-6814,-11963,0,0,0,Drivers,1,1
M,Y,Y,1,287516,Commercial associate,Higher education,Married,House / apartment,-9901,-17245,0,0,1,Core staff,2,1
F,Y,N,0,102919,Pensioner,Secondary / secondary special,Married,House / apartment,29,-16014,0,0,0,Laborers,2,0
M,Y,Y,0,241776,Working,Higher education,Married,House / apartment,-11715,-22934,0,0,0,Core staff,2,1
F,Y,N,0,93756,Pensioner,Secondary / secondary special,Single / not married,House / apartment,10,-14989,0,0,0,Laborers,3,0
F,N,Y,3,68733,State servant,Higher education,Married,House / apartment,-6448,-21093,0,0,0,Medicine staff,2,0
M,N,Y,0,108816,Pensioner,Lower secondary,Married,House / apartment,6,-9400,1,0,0,Medicine staff,2,0
M,Y,Y,0,154422,Commercial associate,Secondary / secondary special,Separated,House / apartment,-6075,-14754,0,0,0,Accountants,3,1
F,N,Y,1,130836,Working,Secondary / secondary special,Single / not married,House / apartment,-14149,-22404,0,1,0,Secretaries,3,0
F,N,Y,0,155874,State servant,Secondary / secondary special,Married,House / apartment,-14141,-12342,1,1,0,Accountants,4,1
F,N,Y,0,206505,Working,Secondary / secondary special,Married,House / apartment,-2012,-15670,1,1,0,High skill tech staff,2,1
F,Y,Y,0,190536,Working,Secondary / secondary special,Married,House / apartment,-13650,-22379,0,0,0,Medicine staff,3,1
M,N,Y,1,170882,Working,Higher education,Single / not married,House / apartment,-2724,-14080,0,1,0,Laborers,3,1
M,N,N,1,228555,Working,Secondary / secondary special,Civil marriage,House / apartment,-3925,-15643,0,1,0,Cleaning staff,2,1
M,N,Y,0,202537,State servant,Secondary / secondary special,Married,House / apartment,-3261,-11251,0,1,0,Medicine staff,2,1
F,Y,Y,1,169581,Commercial associate,Higher education,Single / not married,House / apartment,-10082,-21159,1,1,0,Cleaning staff,2,1
F,Y,Y,4,94361,Commercial associate,Secondary / secondary special,Married,House / apartment,-9270,-10577,0,1,0,IT staff,1,0
M,N,Y,0,297707,Commercial associate,Secondary / secondary special,Married,House / apartment,-2616,-20442,0,1,0,Private service staff,2,1
M,N,N,0,151935,Working,Higher education,Married,House / apartment,-14674,-12232,0,0,0,Drivers,1,1
M,N,Y,0,132107,Working,Higher education,Married,House / apartment,-12880,-20661,0,1,0,Managers,3,1
M,N,Y,1,234960,Commercial associate,Secondary / secondary special,Married,House / apartment,-14007,-24762,1,1,0,Drivers,3,1
F,Y,Y,2,270074,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-9625,-7396,0,0,0,Cooking staff,5,1
F,N,Y,0,161905,Working,Secondary / secondary special,Married,With parents,-13234,-7848,0,0,0,Cooking staff,3,1
F,N,N,2,27523,Pensioner,Secondary / secondary special,Civil marriage,With parents,18,-17612,0,1,0,High skill tech staff,1,0
F,N,Y,0,145570,Working,Secondary / secondary special,Single / not married,Municipal apartment,-2380,-14574,0,1,0,Managers,4,0
M,N,N,0,226989,Working,Higher education,Single / not married,House / apartment,-5628,-17383,0,1,0,High skill tech staff,4,1
F,N,Y,2,145867,Working,Higher education,Married,House / apartment,-13036,-16918,1,0,1,Cooking staff,2,1
F,Y,Y,0,264517,Working,Secondary / secondary special,Married,Municipal apartment,-8399,-17421,0,1,0,IT staff,3,1
F,N,N,1,153722,Pensioner,Secondary / secondary special,Married,House / apartment,9,-11078,0,0,0,Managers,5,0
F,Y,Y,0,87492,Pensioner,Secondary / secondary special,Married,House / apartment,11,-18544,1,0,0,Managers,2,0
F,N,Y,2,224761,Working,Secondary / secondary special,Civil marriage,House / apartment,-12095,-22561,0,1,0,Security staff,4,1
F,N,Y,0,336154,Commercial associate,Higher education,Married,Rented apartment,-6710,-14981,1,0,1,Cooking staff,1,1
M,N,Y,2,144197,Commercial associate,Incomplete higher,Married,House / apartment,-4029,-14935,1,0,0,Secretaries,2,1
M,N,Y,0,201645,Working,Secondary / secondary special,Married,House / apartment,-14757,-9765,1,0,1,Core staff,2,1
M,N,Y,2,184337,Working,Secondary / secondary special,Separated,House / apartment,-10963,-12501,0,0,1,Managers,3,1
M,N,Y,0,45748,State servant,Higher education,Married,House / apartment,-7062,-16609,1,0,0,Laborers,3,1
F,N,Y,2,310781,Commercial associate,Secondary / secondary special,Married,Rented apartment,-5308,-16631,0,0,0,Laborers,5,1
M,Y,Y,0,196767,State servant,Secondary / secondary special,Civil marriage,House / apartment,-1248,-19458,0,0,0,Security staff,2,1
F,N,Y,3,300508,Working,Secondary / secondary special,Married,House / apartment,-9506,-15878,0,0,0,IT staff,1,1
F,N,Y,0,253810,Commercial associate,Secondary / secondary special,Married,House / apartment,-12291,-13072,1,0,0,IT staff,3,1
M,Y,Y,0,224037,Working,Secondary / secondary special,Married,With parents,-3755,-22964,0,0,0,IT staff,3,1
M,N,N,1,145523,Working,Academic degree,Married,Municipal apartment,-2346,-15323,0,0,1,Cooking staff,2,1
F,N,Y,0,159853,Working,Secondary / secondary special,Married,With parents,-3582,-19450,0,0,0,Managers,2,1
M,Y,N,0,160973,Working,Secondary / secondary special,Married,Municipal apartment,-166,-20737,1,0,0,Secretaries,3,0
M,N,Y,3,131793,Working,Higher education,Separated,House / apartment,-7299,-9956,1,0,0,Sales staff,3,1
M,Y,Y,4,214273,Working,Secondary / secondary special,Single / not married,Rented apartment,-1231,-12720,0,1,0,Drivers,2,1
M,Y,Y,0,263438,Working,Secondary / secondary special,Widow,House / apartment,-7205,-14893,0,0,0,IT staff,2,1
F,Y,Y,3,305555,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-552,-18674,1,0,1,Medicine staff,5,0
F,N,Y,1,186202,Working,Secondary / secondary special,Married,House / apartment,-7912,-11109,0,1,0,Sales staff,3,1
F,N,Y,0,120813,Working,Higher education,Separated,House / apartment,-13953,-13874,0,0,0,Managers,2,0
F,Y,Y,2,211009,Working,Secondary / secondary special,Married,House / apartment,-10622,-15972,0,0,0,Managers,2,1
F,N,N,1,309380,Working,Incomplete higher,Single / not married,House / apartment,-5493,-17279,0,0,0,Cleaning staff,3,0
M,N,Y,4,165915,Commercial associate,Higher education,Married,House / apartment,-5422,-8311,0,0,1,Laborers,2,1
F,Y,Y,0,157440,Working,Secondary / secondary special,Single / not married,House / apartment,-8456,-17877,0,1,0,Private service staff,2,1
F,N,Y,1,87364,Pensioner,Secondary / secondary special,Separated,House / apartment,25,-19188,0,1,0,Medicine staff,2,0
F,N,Y,0,150635,Working,Secondary / secondary special,Married,Office apartment,-7779,-21656,0,0,0,Accountants,2,1
F,N,Y,0,20000,Working,Secondary / secondary special,Married,Municipal apartment,-2888,-23792,0,1,0,Managers,3,0
M,N,Y,0,123136,Pensioner,Secondary / secondary special,Married,Municipal apartment,10,-23029,0,0,0,Private service staff,1,0
